the	cow	115.525030608
cow	the	106.314690236
1115	w	92.8086608735
big	farm	92.8086608735
who	knows	92.8086608735
some	text	92.8086608735
i'm	some	92.8086608735
at	me	92.8086608735
look	at	92.8086608735
w	franklin	92.8086608735
what	will	92.8086608735
be	next?	92.8086608735
farm	way	92.8086608735
will	be	92.8086608735
me	at	86.0062661102
will	what	86.0062661102
farm	big	86.0062661102
at	look	86.0062661102
be	will	86.0062661102
knows	who	86.0062661102
some	i'm	86.0062661102
way	farm	86.0062661102
w	1115	86.0062661102
next?	be	86.0062661102
franklin	w	86.0062661102
text	some	86.0062661102
big	way	76.4409733111
there	look,	76.4409733111
way	big	76.4409733111
i'm	text	76.4409733111
will	next?	76.4409733111
be	what	76.4409733111
look,	there	76.4409733111
text	i'm	76.4409733111
franklin	1115	76.4409733111
1115	franklin	76.4409733111
what	be	76.4409733111
next?	will	76.4409733111
look	me	76.4409733111
me	look	76.4409733111
next?	what	68.0333451373
jumped	moon	68.0333451373
moon	jumped	68.0333451373
what	next?	68.0333451373
cow	jumped	63.9189305602
over	there	63.9189305602
jumped	cow	58.502830158
there	over	58.502830158
jumped	over	44.1590679434
look,	over	44.1590679434
the	moon	40.6428140567
jumped	the	40.0836298151
the	jumped	40.0836298151
over	look,	40.0614587989
over	jumped	40.0614587989
bessy	the	39.156559831
cow	moon	37.7458290527
moon	cow	37.7458290527
moon	the	36.0376438707
the	bessy	36.0376438707
cow	bessy	35.8595028411
over	moon	35.8595028411
moon	over	35.8595028411
bessy	cow	35.8595028411
over	the	18.4503283805
the	over	16.5773415021
cow	over	14.6809007099
over	cow	14.6809007099
